Dados horários fornecidos pelo sistema QUALAR/CETESB, reduzidos para a escala diaria.
Estacao Ibirapuera
variavel, unidade, descricao
date, dia, yyyy-mm-dd
MP10, ug/m3, concentração de material particulado inalável
CO, ppm, concentração de monóxido de carbono
O3, ug/m3, concentração de ozônio
NO, ug/m3, concentração de óxido de nitrogênio
NO2, ug/m3, concentração de dióxido de nitrogênio
Dados faltantes são representados por "NaN".
date,MP10,CO,O3,NO,NO2
2005-04-21,28.875,0.721,42.958,NaN,NaN
2005-04-22,22.458,0.625,55.083,NaN,NaN
2005-04-23,33.391,0.704,42.609,NaN,NaN
2005-04-24,29.583,0.796,45.083,NaN,NaN
2005-04-25,26.458,0.850,20.667,NaN,NaN
2005-04-26,11.958,0.538,23.417,NaN,NaN
2005-04-27,16.667,0.617,17.583,NaN,NaN
2005-04-28,21.083,0.996,8.708,NaN,NaN
2005-04-29,25.625,0.996,19.000,NaN,NaN
2005-04-30,12.625,0.633,23.250,NaN,NaN
2005-05-01,13.500,0.500,26.875,NaN,NaN
2005-05-02,17.167,0.658,23.125,NaN,NaN
2005-05-03,21.625,0.754,20.875,NaN,NaN
2005-05-04,25.833,0.821,25.958,NaN,NaN
2005-05-05,34.625,0.954,30.958,NaN,NaN
2005-05-06,39.478,1.048,26.609,NaN,NaN
2005-05-07,39.625,1.400,34.292,NaN,NaN
2005-05-08,39.667,NaN,43.042,NaN,NaN
2005-05-09,35.125,0.800,24.833,NaN,NaN
2005-05-10,46.250,NaN,12.750,NaN,NaN
2005-05-11,47.125,3.650,25.375,NaN,NaN
2005-05-12,76.542,2.763,30.542,NaN,NaN
2005-05-13,41.500,0.809,23.708,NaN,NaN
2005-05-14,46.958,0.896,22.625,NaN,NaN
2005-05-15,49.833,1.209,28.500,NaN,NaN
2005-05-16,47.167,1.317,22.542,NaN,NaN
2005-05-17,67.333,1.552,14.458,NaN,NaN
2005-05-18,67.917,1.463,28.833,NaN,NaN
2005-05-19,71.958,1.761,22.458,NaN,NaN
2005-05-20,71.333,1.283,34.208,NaN,NaN
2005-05-21,41.083,0.578,16.000,NaN,NaN
2005-05-22,16.417,0.429,20.375,NaN,NaN
2005-05-23,20.625,0.626,11.917,NaN,NaN
2005-05-24,20.208,0.788,2.167,NaN,NaN
2005-05-25,13.458,0.617,4.792,NaN,NaN
2005-05-26,23.042,0.450,22.167,NaN,NaN
2005-05-27,25.583,0.439,26.292,NaN,NaN
2005-05-28,33.125,0.650,27.750,NaN,NaN
2005-05-29,31.500,0.843,27.958,NaN,NaN
2005-05-30,33.500,0.942,17.708,NaN,NaN
2005-05-31,31.000,0.880,12.875,NaN,NaN
2005-06-01,NaN,NaN,13.542,NaN,NaN
2005-06-02,NaN,NaN,14.958,NaN,NaN
2005-06-03,NaN,NaN,20.917,NaN,NaN
2005-06-04,NaN,NaN,18.375,NaN,NaN
